max_ppmm,mean_ppmm,sum_ppmm,num_plume_pixels,peak_intensity,density_category,peak_intensity_category,size_category,training_category,granule_id,gas_type,max_signal_to_uncertainty,mean_plume_sensitivity,plume_pixel_area,background_std_dev
73093.59375,12593.9208984375,15956498.0,1267,45196.5390625,uncategorized,uncategorized,uncategorized,uncategorized,20230725T113852,co2,5.535249277549624,0.7568031198270884,1267.0,7667.457797795783
50463.41796875,9848.6494140625,10744877.0,1091,35880.36328125,uncategorized,uncategorized,uncategorized,uncategorized,20230621T093251,co2,5.885673295127086,1.1008226148968547,1091.0,6324.921986106665
47799.5078125,11371.4443359375,14396249.0,1266,37340.67578125,uncategorized,uncategorized,uncategorized,uncategorized,20231006T065521,co2,4.951255518822414,0.9813363969231857,1266.0,7531.362549378076
71531.8359375,9920.49609375,35068952.0,3535,48594.6875,uncategorized,uncategorized,uncategorized,uncategorized,20230802T082535,co2,7.647860505369841,0.80114851682493,3535.0,7737.021244522258
96867.671875,16747.458984375,3952400.5,236,67342.9765625,uncategorized,uncategorized,uncategorized,uncategorized,20230821T044316,co2,8.030764689456712,1.1265771185695115,236.0,11904.597499150488
123809.6875,20628.77734375,32614096.0,1581,86461.7578125,uncategorized,uncategorized,uncategorized,uncategorized,20230821T044316,co2,7.529698631790181,0.7833533377812528,1581.0,11720.320750717852
161786.375,33906.46875,43976688.0,1297,128597.1953125,uncategorized,uncategorized,uncategorized,uncategorized,20231010T021646,co2,10.925193355049784,0.9892484823740163,1297.0,13305.727307632209
136455.390625,30964.267578125,74314240.0,2400,87436.2890625,uncategorized,uncategorized,uncategorized,uncategorized,20231010T021646,co2,7.96687866014889,0.940667371985813,2400.0,16141.592498667349
91343.234375,21972.298828125,8261584.0,376,71475.265625,uncategorized,uncategorized,uncategorized,uncategorized,20240213T070301,co2,7.46378123375398,1.2927769894137027,376.0,14404.665466839419
144474.046875,25410.748046875,35549636.0,1399,81815.578125,uncategorized,uncategorized,uncategorized,uncategorized,20240213T070301,co2,8.859883612888497,1.2486314872190558,1399.0,15498.155141390624
40753.1171875,8503.51171875,102458808.0,12049,25939.5390625,uncategorized,uncategorized,uncategorized,uncategorized,20240416T114948,co2,3.85871982108999,1.074203372048643,12049.0,8337.069819592203
96323.765625,23987.9765625,10530722.0,439,73232.5625,uncategorized,uncategorized,uncategorized,uncategorized,20220814T083828,co2,4.585826625220027,0.8002652174247967,439.0,18724.94347903632
102339.8046875,10894.5166015625,168494592.0,15466,37155.40234375,uncategorized,uncategorized,uncategorized,uncategorized,20231018T084214,co2,5.54152928203019,1.022276812854354,15466.0,11092.503023838775
81381.7890625,16382.9423828125,26458452.0,1615,54080.7421875,uncategorized,uncategorized,uncategorized,uncategorized,20220827T165612,co2,5.5479265059367355,1.274287773018282,1615.0,14618.512729297583
152239.265625,30571.478515625,57443808.0,1879,103938.3828125,uncategorized,uncategorized,uncategorized,uncategorized,20240428T021302,co2,8.463606780268154,0.9405371603130216,1879.0,21025.1804200119
69799.46875,19828.23828125,11659004.0,588,58759.98046875,uncategorized,uncategorized,uncategorized,uncategorized,20230424T042508,co2,3.090853400966643,0.8451626020021179,588.0,13691.038795726945
173723.46875,18741.11328125,41867648.0,2234,115221.6328125,uncategorized,uncategorized,uncategorized,uncategorized,20230621T045131,co2,10.504569878694788,0.8550546614981808,2234.0,10321.111524927128
312123.1875,39818.06640625,21740664.0,546,191610.671875,uncategorized,uncategorized,uncategorized,uncategorized,20230204T053555,co2,11.565461525239213,1.509237249255617,546.0,28054.1666676407
45872.1953125,8297.421875,118678032.0,14303,25089.455078125,uncategorized,uncategorized,uncategorized,uncategorized,20240416T115000,co2,4.29891120415494,1.0220218359661428,14303.0,8035.391394661635
69050.6796875,17467.037109375,7475891.5,428,62238.3828125,uncategorized,uncategorized,uncategorized,uncategorized,20240416T115000,co2,7.104864530287258,1.0549221811729057,428.0,8231.64212463545
68598.53125,11460.4228515625,385620320.0,33648,38623.65625,uncategorized,uncategorized,uncategorized,uncategorized,20231204T082834,co2,6.293213239881425,1.1059987425544626,33648.0,9483.609033053166
152763.0625,25375.876953125,6902238.5,272,130418.625,uncategorized,uncategorized,uncategorized,uncategorized,20240120T155017,co2,,,272.0,10788.708048451106
105838.34375,16823.7890625,14317044.0,851,87554.90625,uncategorized,uncategorized,uncategorized,uncategorized,20220815T025803,co2,6.545115344044051,0.49900718183901277,851.0,12918.42235438781
118312.4296875,29444.6171875,6006702.0,204,107193.0390625,uncategorized,uncategorized,uncategorized,uncategorized,20240423T030446,co2,5.642469658656226,0.9345508992087608,204.0,17522.150008310582
137960.8125,34395.52734375,21772368.0,633,120395.21875,uncategorized,uncategorized,uncategorized,uncategorized,20230627T030758,co2,9.841850470185161,1.4610129412128274,633.0,19931.66896577584
218704.4375,34252.01171875,31614608.0,923,130608.828125,uncategorized,uncategorized,uncategorized,uncategorized,20230627T030758,co2,13.624676460591266,1.4468702821793562,923.0,20118.87073066407
